,name,gene_reaction_rule,subunit_mw,subunit_num
LPLIPAL1A161pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)",b0494,23.62216,4
LPLIPAL1A160pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)",b0494,23.62216,4
PSCLYSt2pp,Psicoselysine transport via proton symport (periplasm),b3370,47.57654,1
LYSt2pp,L-lysine transport in via proton symport (periplasm),b2156,53.57591,1
GLYt2pp,Glycine transport in via proton symport (periplasm),b1801 or b4208,52.88118 or 51.65966 ,1 or 1 
ALAt2pp,L-alanine transport in via proton symport (periplasm),b4208 or b4130,51.65966 or 53.05461 ,1 or 1 
BALAt2pp,Beta-alanine transport in via proton symport (periplasm),b4208,51.65966,1
DALAt2pp,D-alanine transport in via proton symport (periplasm),b4208,51.65966,1
FE2tpp,Iron (+2) transport in via permease (no H+),b3040,26.48477,1
MN2tpp,Manganese transport in via permease (no H+),b3040,26.48477,1
MG2tpp,Magnesium (+2) transport in via diffusion,b3816,36.58971,1
NI2t3pp,Nickle (Ni+2) transport out via proton antiport (periplasm),b3915 or b0752,32.92726 or 34.67842 ,2 or 1 
PPAtex,Propionate transport via diffusion,b0929 or b0241 or b1377 or b2215,39.33331 or 38.922 or 41.21985 or 40.36812 ,3 or 3 or 1 or 3 
GALCTNLt2pp,L-galactonate transport via proton symport (periplasm),b4356,49.44047,1
GALCTLO,L-galactonate oxidoreductase,b4358,36.44787,1
PSCLYStex,Psicoselysine transporter via diffusion (extracellular),b1377 or b0929 or b2215 or b0241,41.21985 or 39.33331 or 40.36812 or 38.922 ,1 or 3 or 3 or 3 
THYMtex,Thymine transport via diffusion (extracellular to periplasm),b2215 or b0241 or b1377 or b0929,40.36812 or 38.922 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
CU2tpp,Copper transport in via permease (no H+),b3040,26.48477,1
FE2t3pp,Iron (Fe+2) transport out via proton antiport (periplasm),b3915,32.92726,2
MN2t3pp,Manganese (Mn+2) transport out via proton antiport (periplasm),b3915 or b0752,32.92726 or 34.67842 ,2 or 1 
CD2tpp,Cadmium (+2) transport in via permease (no H+),b3040,26.48477,1
THRA,Threonine aldolase,b2551 or b0870,45.31659 or 36.49471 ,2 or 4 
XYLK2,L-xylulokinase,b0063 or b3580,61.08942 or 55.15484 ,2 or 2 
GLDBRAN2,Glycogen debranching enzyme (bglycogen -> glycogen),b3431,73.57668,1
CLt3_2pp,Chloride transport out via proton antiport (2:1) (periplasm),b0155,50.34872,2
POR5,Pyruvate synthase,( b1378 and b0684 ) or ( b1378 and b2895 ),( 128.82445 and 19.73694 ) or ( 128.82445 and 19.70018 ) ,( 1 and 1 ) or ( 1 and 1 ) 
HACD8,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal",b3846 or b2341,79.59391 or 77.07221 ,2 or 1 
CTECOAI8,3-cis-2-trans-enoyl-CoA isomerase,b3846,79.59391,2
CTECOAI6,3-cis-2-trans-enoyl-CoA isomerase,b3846,79.59391,2
MALCOAMT,Malonyl-CoA methyltransferase,b0777,28.2762,1
OGMEACPS,3-Oxo-glutaryl-[ACP] methyl ester synthase,b1091,33.51512,2
OGMEACPR,3-Oxo-glutaryl-[ACP] methyl ester reductase,b1093,25.56029,4
OPMEACPS,3-Oxo-pimeloyl-[ACP] methyl ester synthase,b2323,42.61332,2
LIPAabctex,Lipid A transport via ABC system (periplasm to extracellular),b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,89.671 and 26.80065 and 40.35765 and 39.61861 and 21.70263 and 20.12688 and 21.357 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
DGUNC,Diguanylate cyclase,b1025 or b1794 or b1341 or b1535 or b1490,51.783 or 38.546 or 46.452 or 33.863 or 53.178 ,1 or 1 or 4 or 2 or 2 
CDGUNPD,"3,5-cyclic-nucleotide phosphodiesterase",b1285 or b1489 or b2503 or b3525 or b0315,74.665 or 90.26038 or 85.608 or 29.601 or 40.725 ,1 or 2 or 2 or 1 or 2 
LDGUNPD,Linear diguanylate phosphodiesterase,b1285,74.665,1
MPTAT,Molybdopterin adenylyltransferase,b0009,21.22235,3
MOADSUx,"MoaD sulfuration (nadh, assumed)",b0784 and b2530,8.75794 and 45.0895 ,2 and 2 
CMtpp,Chloramphenicol transport via TolC system,( b3035 and b0463 and b2470 ) or ( b3035 and b0463 and b0462 ),( 53.74072 and 42.19671 and 113.04734 ) or ( 53.74072 and 42.19671 and 113.57365 ) ,( 3 and 6 and 3 ) or ( 3 and 6 and 3 ) 
FUSAtpp,Fusidic acid transport via TolC system,( b3035 and b0463 and b0462 ) or ( b3035 and b0463 and b2470 ),( 53.74072 and 42.19671 and 113.57365 ) or ( 53.74072 and 42.19671 and 113.04734 ) ,( 3 and 6 and 3 ) or ( 3 and 6 and 3 ) 
MINCYCtex,Minocycline transport via diffusion (extracellular to periplasm),b0929 or b1377 or b0241 or b2215,39.33331 or 41.21985 or 38.922 or 40.36812 ,3 or 1 or 3 or 3 
MINCYCtpp,Minocycline transport via TolC system,( b3035 and b0463 and b2470 ) or ( b3035 and b0463 and b0462 ),( 53.74072 and 42.19671 and 113.04734 ) or ( 53.74072 and 42.19671 and 113.57365 ) ,( 3 and 6 and 3 ) or ( 3 and 6 and 3 ) 
DOXRBCNtex,Doxorubicin transport via diffusion (extracellular to periplasm),b1377 or b0929 or b2215 or b0241,41.21985 or 39.33331 or 40.36812 or 38.922 ,1 or 3 or 3 or 3 
DOXRBCNtpp,Doxorubicin transport via TolC system,( b3035 and b0463 and b0462 ) or ( b3035 and b0463 and b2470 ),( 53.74072 and 42.19671 and 113.57365 ) or ( 53.74072 and 42.19671 and 113.04734 ) ,( 3 and 6 and 3 ) or ( 3 and 6 and 3 ) 
REPHACCOAI,"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)",b1394,28.40461,1
ACPPAT141,Acyl-(acyl carrier protein):phosphate acyltransferase (C14:1),b1094 and b1090,8.63952 and 38.21443 ,1 and 1 
ACPPAT161,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1),b1094 and b1090,8.63952 and 38.21443 ,1 and 1 
ACPPAT180,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0),b1094 and b1090,8.63952 and 38.21443 ,1 and 1 
APG3PAT160,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0),b3059,22.19343,1
APG3PAT161,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),b3059,22.19343,1
APG3PAT180,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0),b3059,22.19343,1
ICYSDS,ISC Cysteine desulfuration,b2530,45.0895,2
I4FE4SR,ISC [4Fe-4S] Reduction,b2529,13.84859,1
S2FE2ST,SUF [2Fe-2S] Transfer,b1684 and b1682 and b1681 and b1683,13.30011 and 27.58237 and 46.82275 and 54.74532 ,2 and 2 and 1 and 1 
BMOCOS,Bis-molybdenum cofactor synthase,b0827,44.06727,2
BWCOS,Tungsten bispterin cofactor synthase,b0827,44.06727,2
BWCOGDS1,Tungsten bispterin guanine dinucleotide synthase (single GDP),b3857,21.64286,1
BWCOGDS2,Tungsten bispterin guanine dinucleotide synthase,b3857,21.64286,1
DHNPTE,Dihydroneopterin epimerase,b3058,13.61953,8
DHMPTR,Dihydromonapterin reductase,b1606,26.3483,1
NOVBCNtpp,Novobiocin transport via TolC system,( b3035 and b0463 and b2470 ) or ( b3035 and b0463 and b0462 ),( 53.74072 and 42.19671 and 113.04734 ) or ( 53.74072 and 42.19671 and 113.57365 ) ,( 3 and 6 and 3 ) or ( 3 and 6 and 3 ) 
CMtex,Chloramphenicol transport via diffusion (extracellular to periplasm),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
LALALGLUtex,L-alanyl-L-glutamate transport via diffusion (extracellular to periplasm),b0929 or b1377 or b0241 or b2215,39.33331 or 41.21985 or 38.922 or 40.36812 ,3 or 1 or 3 or 3 
LALADGLUtpp,L-alanyl-D-glutamate transport in via proton symport (periplasm),b3496 or b0709 or b1634 or b4130,53.57518 or 54.15896 or 53.99114 or 53.05461 ,1 or 1 or 1 or 1 
I2FE2SS,ISC [2Fe-2S] Synthesis,b2530 and b2529,45.0895 and 13.84859 ,2 and 1 
I2FE2ST,ISC [2Fe-2S] Transfer,b2529 and b2528,13.84859 and 11.55605 ,1 and 4 
I2FE2SS2,ISC [2Fe-2S] Synthesis II,b2530 and b2529,45.0895 and 13.84859 ,2 and 1 
I4FE4ST,ISC [4Fe-4S] Transfer,b2529 and b2528,13.84859 and 11.55605 ,1 and 4 
S4FE4ST,SUF [4Fe-4S] Transfer,b1684 and b1682 and b1681 and b1683,13.30011 and 27.58237 and 46.82275 and 54.74532 ,2 and 2 and 1 and 1 
S2FE2SS2,SUF [2Fe-2S] Synthesis II,b1682 and b1683 and b1680 and b1681 and b1679,27.58237 and 54.74532 and 44.43376 and 46.82275 and 15.80032 ,2 and 1 and 2 and 1 and 2 
BTS5,Biotin synthase,b0775,38.64809,2
5MTRtex,5-Methylthio-D-ribose transport via proton diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
LALADGLUtex,L-alanyl-D-glutamate transport via diffusion (extracellular to periplasm),b0241 or b2215 or b1377 or b0929,38.922 or 40.36812 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
LALALGLUtpp,L-alanyl-L-glutamate transport in via proton symport (periplasm),b4130 or b1634 or b3496 or b0709,53.05461 or 53.99114 or 53.57518 or 54.15896 ,1 or 1 or 1 or 1 
3AMACHYD,3-aminoacrylate hydrolase,b1009,28.89811,1
3HPPtex,3-hydroxypropionate transport via diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
CCGS,7-cyano-7-carbaguanine synthase,b0444,25.51417,1
CDGR,7-cyano-7-deazaguanine reductase,b2794,32.58751,2
MSAR,Malonic semialdehyde reductase,b1008 or b1539,21.57038 or 27.24893 ,1 or 4 
ACPPAT120,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),b1094 and b1090,8.63952 and 38.21443 ,1 and 1 
CPH4S,"6-carboxy-5,6,7,8-tetrahydropterin synthase",b2765,13.77288,6
SHCHCS3,"2-succinyl-6-hydroxy-2,4-cyclohexadiene 1-carboxylate synthase",b2263,27.68236,1
URACPAH,Peroxyureidoacrylate hydrolase,b1011,25.20867,1
POAACR,Peroxyaminoacrylate reductase,b1010,13.76286,1
ACPPAT160,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:0),b1094 and b1090,8.63952 and 38.21443 ,1 and 1 
ACPPAT181,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:1),b1094 and b1090,8.63952 and 38.21443 ,1 and 1 
APH141,Acylphosphatase (C14:1),b0968,10.29976,1
APH161,Acylphosphatase (C16:1),b0968,10.29976,1
APH180,Acylphosphatase (C18:0),b0968,10.29976,1
APH181,Acylphosphatase (C18:1),b0968,10.29976,1
GTHPi,Glutathione peridoxase,b1710,20.46956,1
SEPHCHCS,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,b2264,61.36706,2
DHNCOAS,"1,4-dihydroxy-2-napthoyl-CoA synthase",b2262,31.63308,6
DHNCOAT,"1,4-dihydroxy-2-napthoyl-CoA thioesterase",b1686,14.945,4
I2FE2SR,ISC [2Fe-2S] regeneration,b2529 and b2530,13.84859 and 45.0895 ,1 and 2 
TYRL,Tyrosine lyase,b3991,26.8961,1
THZPSN3,Thiazole phosphate synthesis,b3992 and b3990 and b0423 and b2530 and b4407 and b3991,26.96978 and 43.32013 and 54.9731 and 45.0895 and 7.31129  and 26.8961,1 and 6 and 1 and 2 and 1 and 6
APG3PAT120,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C12:0),b3059,22.19343,1
APH120,Acylphosphatase (C12:0),b0968,10.29976,1
MOCDS,Molybdopterin cytidine dinucleotide synthase,b2877,21.51384,1
FUSAtex,Fusidic acid transport via diffusion (extracellular to periplasm),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
QUIN2tex,Quinate transport via diffusion (extracellular to periplasm),b0241 or b2215 or b1377 or b0929,38.922 or 40.36812 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
FORCT,Formyl-CoA Transferase,b2374,45.82818,2
PACCOAE,"Ring 1,2-phenylacetyl-CoA epoxidase (NADPH)",b1389 and b1388 and b1391 and b1392 and b1390,10.94225 and 35.49927 and 18.32408 and 39.31994 and 27.87748 ,1 and 1 and 1 and 1 and 1 
OXDHCOAT,"3-oxo-5,6-dehydrosuberyl-CoA thiolase",b1397 and b1394,42.27654 and 28.40461 ,1 and 1 
HADPCOADH3,3-hydroxyadipyl-CoA dehydrogenase (NAD+),b1395,51.73262,1
O16A4COLIPAabctex,O16 antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,89.671 and 26.80065 and 40.35765 and 39.61861 and 21.70263 and 20.12688 and 21.357 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
COLIPAabctex,Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),b0054 and b3201 and b3200 and b0641 and b4262 and b3199 and b4261,89.671 and 26.80065 and 20.12688 and 21.357 and 39.61861 and 21.70263 and 40.35765 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
ENLIPAabctex,Phosphoethanolamine lipid A transport via ABC system (periplasm to extracellular),b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,89.671 and 26.80065 and 40.35765 and 39.61861 and 21.70263 and 20.12688 and 21.357 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
PYROX,Pyrimidine oxygenase,b1007 and b1012,17.74927 and 42.21891 ,1 and 1 
BMOGDS1,Bis-molybdopterin guanine dinucleotide synthase (single GDP),b3857,21.64286,1
MPTS,Molybdopterin synthase,b0785 and b0784,16.98106 and 8.75794 ,2 and 2 
MOCOS,Molybdenum cofactor synthase,b0827,44.06727,2
BMOGDS2,Bis-molybdopterin guanine dinucleotide synthase,b3857,21.64286,1
S2FE2SR,SUF [2Fe-2S] regeneration,b1681 and b1679 and b1680 and b1682 and b1683,46.82275 and 15.80032 and 44.43376 and 27.58237 and 54.74532 ,1 and 2 and 2 and 2 and 1 
ACACT8r,"Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)",b2342 or b3845,46.5305 or 40.8762 ,1 or 2 
CTECOAI7,3-cis-2-trans-enoyl-CoA isomerase,b3846,79.59391,2
CLIPAabctex,Cold lipid A transport via ABC system (periplasm to extracellular),b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,89.671 and 26.80065 and 40.35765 and 39.61861 and 21.70263 and 20.12688 and 21.357 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
K2L4Aabctex,KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular),b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,89.671 and 26.80065 and 40.35765 and 39.61861 and 21.70263 and 20.12688 and 21.357 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
FDH4pp,Formate dehydrogenase (quinone-8) (periplasm),( b3894 and b3893 and b3892 ) or ( b1476 and b1474 and b1475 ),( 112.39938 and 33.10038 and 24.60637 ) or ( 25.36849 and 112.81331 and 32.23872 ) ,( 1 and 1 and 1 ) or ( 3 and 3 and 3 ) 
FDH5pp,Formate Dehydrogenase (menaquinone-8) (periplasm),( b1476 and b1474 and b1475 ) or ( b3894 and b3893 and b3892 ),( 25.36849 and 112.81331 and 32.23872 ) or ( 112.39938 and 33.10038 and 24.60637 ) ,( 3 and 3 and 3 ) or ( 1 and 1 and 1 ) 
ACPPAT140,Acyl-(acyl carrier protein):phosphate acyltransferase (C14:0),b1094 and b1090,8.63952 and 38.21443 ,1 and 1 
APG3PAT140,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:0),b3059,22.19343,1
APG3PAT141,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1),b3059,22.19343,1
APG3PAT181,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1),b3059,22.19343,1
APH140,Acylphosphatase (C14:0),b0968,10.29976,1
APH160,Acylphosphatase (C16:0),b0968,10.29976,1
OPMEACPD,3-Oxo-pimeloyl-[ACP] methyl ester dehydratase,b0180,17.03295,6
EPMEACPR,Enoylpimeloyl-[ACP] methyl ester reductase,b1288,27.86394,4
AOXSr2,8-amino-7-oxononanoate synthase,b0776,41.59426,2
SCYSDS,SUF Cysteine desulfuration,b1680 and b1679,44.43376 and 15.80032 ,2 and 2 
S2FE2SS,SUF [2Fe-2S] Synthesis,b1682 and b1683 and b1680 and b1681 and b1679,27.58237 and 54.74532 and 44.43376 and 46.82275 and 15.80032 ,2 and 1 and 2 and 1 and 2 
S4FE4SR,SUF [4Fe-4S] Reduction,b1681 and b1682 and b1683,46.82275 and 27.58237 and 54.74532 ,1 and 2 and 1 
SELtex,Selenate transport via diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
SELR,Selenate reductase,b1588 and b1589 and b1590 and b1587,89.98705 and 22.75175 and 30.52367 and 89.78001 ,1 and 1 and 1 and 1 
OGMEACPD,3-Oxo-glutaryl-[ACP] methyl ester dehydratase,b0180,17.03295,6
EGMEACPR,Enoylglutaryl-[ACP] methyl ester reductase,b1288,27.86394,4
OPMEACPR,3-Oxo-pimeloyl-[ACP] methyl ester reductase,b1093,25.56029,4
PMEACPE,Pimeloyl-[ACP] methyl ester esterase,b3412,28.50501,1
MEOHtex,Methanol transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
MECDPDH5,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",( b2515 and b2895 ) or ( b2515 and b0684 ),( 40.68361 and 19.70018 ) or ( 40.68361 and 19.73694 ) ,( 1 and 1 ) or ( 1 and 1 ) 
RNTR1c2,Ribonucleoside-triphosphate reductase (ATP) (flavodoxin),( b0684 and b4238 ) or ( b4238 and b3924 and b0684 and b4237 ) or ( b4238 and b3924 and b2895 and b4237 ) or ( b2895 and b4238 ),( 19.73694 and 80.02256 ) or ( 80.02256 and 27.75094 and 19.73694 and 17.44592 ) or ( 80.02256 and 27.75094 and 19.70018 and 17.44592 ) or ( 19.70018 and 80.02256 ) ,( 1 and 2 ) or ( 2 and 1 and 1 and 2 ) or ( 2 and 1 and 1 and 2 ) or ( 1 and 2 ) 
RNTR2c2,Ribonucleoside-triphosphate reductase (GTP) (flavodoxin),( b4238 and b3924 and b0684 and b4237 ) or ( b4238 and b3924 and b2895 and b4237 ) or ( b2895 and b4238 ) or ( b0684 and b4238 ),( 80.02256 and 27.75094 and 19.73694 and 17.44592 ) or ( 80.02256 and 27.75094 and 19.70018 and 17.44592 ) or ( 19.70018 and 80.02256 ) or ( 19.73694 and 80.02256 ) ,( 2 and 1 and 1 and 2 ) or ( 2 and 1 and 1 and 2 ) or ( 1 and 2 ) or ( 1 and 2 ) 
RNTR3c2,Ribonucleoside-triphosphate reductase (CTP) (flavodoxin),( b2895 and b4238 ) or ( b4238 and b3924 and b0684 and b4237 ) or ( b4238 and b3924 and b2895 and b4237 ) or ( b0684 and b4238 ),( 19.70018 and 80.02256 ) or ( 80.02256 and 27.75094 and 19.73694 and 17.44592 ) or ( 80.02256 and 27.75094 and 19.70018 and 17.44592 ) or ( 19.73694 and 80.02256 ) ,( 1 and 2 ) or ( 2 and 1 and 1 and 2 ) or ( 2 and 1 and 1 and 2 ) or ( 1 and 2 ) 
RNTR4c2,Ribonucleoside-triphosphate reductase (UTP) (flavodoxin),( b0684 and b4238 ) or ( b4238 and b3924 and b0684 and b4237 ) or ( b4238 and b3924 and b2895 and b4237 ) or ( b2895 and b4238 ),( 19.73694 and 80.02256 ) or ( 80.02256 and 27.75094 and 19.73694 and 17.44592 ) or ( 80.02256 and 27.75094 and 19.70018 and 17.44592 ) or ( 19.70018 and 80.02256 ) ,( 1 and 2 ) or ( 2 and 1 and 1 and 2 ) or ( 2 and 1 and 1 and 2 ) or ( 1 and 2 ) 
FLDR2,Flavodoxin reductase (NADPH),( b3924 and b2895 ) or ( b3924 and b0684 ),( 27.75094 and 19.70018 ) or ( 27.75094 and 19.73694 ) ,( 1 and 1 ) or ( 1 and 1 ) 
TTRCYCtex,Tetracycline transport via diffusion (extracellular to periplasm),b1377 or b0929 or b0241 or b2215,41.21985 or 39.33331 or 38.922 or 40.36812 ,1 or 3 or 3 or 3 
TTRCYCtpp,Tetracycline transport via TolC system,( b3035 and b0463 and b2470 ) or ( b3035 and b0463 and b0462 ),( 53.74072 and 42.19671 and 113.04734 ) or ( 53.74072 and 42.19671 and 113.57365 ) ,( 3 and 6 and 3 ) or ( 3 and 6 and 3 ) 
FESR,Iron-sulfur cluster repair,b4209,24.88262,1
OXCOAHDH,"Oxepin-CoA hydrolase/ 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)",b1387,73.00263,1
DHACOAH,"2,3-dehydroadipyl-CoA hydratase",b1393,27.23737,1
THFAT,Tetrahydrofolate aminomethyltransferase,b2551,45.31659,2
FOMETRi,Aminomethyltransferase,b2912,21.10543,1
SLNTtex,Selenite transport via diffusion (extracellular to periplasm),b2215 or b1377 or b0929 or b0241,40.36812 or 41.21985 or 39.33331 or 38.922 ,3 or 1 or 3 or 3 
GDPTPDP,Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase,b3650,79.34244,1
COLIPAKpp,Lipid A core kinase (periplasm),b2174,26.75913,1
MPTSS,Molybdopterin synthase sulfurylase,b0826,26.71883,2
CPMPS,Cyclic pyranopterin monophosphate synthase,b0783 and b0781,17.46724 and 37.34643 ,6 and 1 
LIPOCT,Lipoyl(octanoyl) transferase,b0630,23.88253,1
LIPOS,Lipoate synthase,b0628,36.07171,2
OCTNLL,Octanoate non-lipoylated apo domain ligase,b4386,37.92588,1
LIPATPT,Lipoate-ATP adenylate transferase,b4386,37.92588,1
LIPAMPL,Lipoyl-adenylate protein ligase,b4386,37.92588,1
ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)",b1385,53.69913,4
MMM,Methylmalonyl-CoA mutase,b2917,77.87127,2
MOGDS,Molybdopterin guanine dinucleotide synthase,b3857,21.64286,1
WCOS,Tungsten pterin cofactor synthase,b0827,44.06727,2
RFAMPtpp,Rifampin transport via TolC system,( b3035 and b0463 and b0462 ) or ( b3035 and b0463 and b2470 ),( 53.74072 and 42.19671 and 113.57365 ) or ( 53.74072 and 42.19671 and 113.04734 ) ,( 3 and 6 and 3 ) or ( 3 and 6 and 3 ) 
VPAMTr,Valine-pyruvate aminotransferase,b3572,46.71123,1
ACOLIPAabctex,Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,89.671 and 26.80065 and 40.35765 and 39.61861 and 21.70263 and 20.12688 and 21.357 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
ECA4COLIPAabctex,Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,89.671 and 26.80065 and 40.35765 and 39.61861 and 21.70263 and 20.12688 and 21.357 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
COLIPAPabctex,Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular),b0054 and b3201 and b4261 and b4262 and b3199 and b3200 and b0641,89.671 and 26.80065 and 40.35765 and 39.61861 and 21.70263 and 20.12688 and 21.357 ,1 and 2 and 1 and 1 and 1 and 1 and 1 
TARTRDtex,D-tartrate transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
3OXCOAT,3-oxoadipyl-CoA thiolase,b1397,42.27654,1
BTNtex,Biotin transport via diffusion (extracellular to periplasm),b0241 or b2215 or b1377 or b0929,38.922 or 40.36812 or 41.21985 or 39.33331 ,3 or 3 or 1 or 3 
2DGULRGx,2-Dehydro-L-gulonate reductase to gluconate (NADH),b3553,35.3955,2
2DGULRGy,2-Dehydro-L-gulonate reductase to gluconate (NADPH),b3553,35.3955,2
AP4AS,Ap4A synthetase,b4129,57.82657,2
ARBTptspp,Arbutin transport via PEP:Pyr PTS (periplasm),( b2416 and b3722 and b2415 ) or ( b2416 and b2715 and b2415 ),( 63.56184 and 66.48297 and 9.11937 ) or ( 63.56184 and 51.02596 and 9.11937 ) ,( 2 and 2 and 1 ) or ( 2 and 2 and 1 ) 
ARBTtex,Arbutin transport via diffusion (extracellular to periplasm),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
PYDXtex,Pyridoxal transport via diffusion (extracellular),b1377 or b2215 or b0929 or b0241,41.21985 or 40.36812 or 39.33331 or 38.922 ,1 or 3 or 3 or 3 
SUCASPtpp,Succinate:aspartate antiporter (periplasm),b4123 or b4138 or b0621,47.93526 or 45.75071 or 48.41221 ,1 or 1 or 1 
SUCMALtpp,Succinate:malate antiporter (periplasm),b4123 or b4138 or b0621,47.93526 or 45.75071 or 48.41221 ,1 or 1 or 1 
